"","AuthorID","PaperNO","QuestAuthor","Coauthor","Paper","Journal"
"1","1","1","M Brown"," John Hershberger","Color and Sound in Algorithm Animation ","VL Visual Languages"
"2","1","2","M Brown"," Marc Najork","Collaborative Active Textbooks: A Web-Based Algorithm Animation System for an Electronic Classroom ","VL Visual Languages"
"3","1","3","M Brown"," ","Zeus: A System for Algorithm Animation and Multi-View Editing ","VL Visual Languages"
"4","1","4","M Brown"," ","The SRC Algorithm Animation Festival ","VL Visual Languages"
"5","1","5","M Brown"," Marc Najork ; Roope Raisamo","A Java-Based Implementation of Collaborative Active Textbooks ","VL Visual Languages"
"6","1","6","M Brown"," Marc Najork","Algorithm Animation Using D Interactive Graphics ","ACM Symposium User Interface Software and Technology"
"7","1","7","M Brown"," ","Browsing the Web with a Mail/News Reader ","ACM Symposium User Interface Software and Technology"
"8","1","8","M Brown"," Krishna Bharat","Building Distributed, Multi-User Applications by Direct Manipulation ","ACM Symposium User Interface Software and Technology"
"9","1","9","M Brown"," Marc Najork","Distributed Applets ","CHI Conference Human Factors Computing Systems Extended Abstracts"
"10","1","10","M Brown"," Robert A Shillner","A new paradigm for browsing the web ","CHI Conference Human Factors Computing Systems Conference Companion"
"11","1","11","M Brown"," Marc Najork","A Library for Visualizing Combinatorial Structures ","IEEE Visualization"
"12","1","12","M Brown"," ","WebCard = Email + News + WWW ","CHI Conference Human Factors Computing Systems Extended Abstracts"
"13","1","13","M Brown"," Krishna Bharat","Building a distributed application using visual Obliq ","CHI Conference Human Factors Computing Systems Conference Companion"
"14","1","14","M Brown"," Marc Najork","Distributed Active Objects ","Computer Networks"
"15","1","15","M Brown"," Robert A Shillner","DeckScape: An Experimental Web Browser ","Computer Networks and ISDN Systems"
"16","1","16","M Brown"," Marc Najork","Collaborative Active Textbooks ","J Vis Lang Comput"
"17","1","17","M Brown"," Marc Najork","Obliq- D: A High-Level, Fast-Turnaround D Animation System ","IEEE Transactions Visualization and Computer Graphics"
"18","1","18","M Brown"," John Hershberger","Color and Sound in Algorithmic Animation ","IEEE Computer"
"19","1","19","M Brown"," ","Exploring Algorithms Using Balsa-II ","IEEE Computer"
"20","1","20","M Brown"," ","An Introduction to Zeus: Audiovisualization of Some Elementary Sequential and Parallel Sorting Algorithms ","CHI Conference Human Factors Computing Systems"
"21","1","21","M Brown"," Manojit Sarkar","Graphical Fisheye Views of Graphs ","CHI Conference Human Factors Computing Systems"
"22","1","22","M Brown"," Manojit Sarkar","Graphical Fisheye Views ","Commun ACM"
"23","1","23","M Brown"," ","Experiences Using Algorithm Animations for Teaching and Research ","ICCAL International Conference Computers and Learning"
"24","1","24","M Brown"," William E Weihl","Zippers: A Focus+Context Display of Web Pages ","WebNet"
"25","1","25","M Brown"," Robert Sedgewick","Techniques for Algorithm Animation ","IEEE Software"
"26","2","1","M Brown","M S Brown","Building Large Format Displays for Digital Libraries,","Communications of the ACM Special Issue Digital Libraries"
"27","2","2","M Brown","M S Brown;W B Seales","Beyond D Images: Effective D Imaging for Library Materials,"," th ACM Conference Digital Libraries"
"28","2","3","M Brown","M S Brown;R D Yang","Computer-Assisted Visualization and Analysis of Scholarly Manuscripts,","IS T Visualization and Data Analysis VDA"
"29","2","4","M Brown","M S Brown;D Tsoi","Correcting Common Distortions in Camera-Imaged Library Materials,","IEEE and ACM JCDL ACM IEEE Joint Conference Digital Libraries"
"30","2","5","M Brown","M S Brown;Y -C Tsoi","Correcting Distortions in Imaged Print Materials using Boundary Interpolation"," International Journal of Image and Graphics"
"31","2","6","M Brown","M S Brown;W B Seales;K Kiernan;J Griffioen"," D Acquisition and Restoration of Medieval Manuscripts,","Communications of the ACM Special Issue Digital Libraries"
"32","2","7","M Brown","M S Brown;W B Seales","Document Restoration using D Shape,","International Conference Computer Vision"
"33","2","8","M Brown","M S Brown;W B Seales","Digital Atheneum: New Approaches for Preserving, Restoring, and Analyzing Damaged Manuscripts,","IEEE and ACM Joint Conference Digital Libraries Nominated for Best Paper Award"
"34","2","9","M Brown","M S Brown;W B Seales","Digital Atheneum: Techniques for Acquiring and Restoring Damaged Scholarly Manuscripts"," International Journal of Digital Libraries under review"
"35","2","10","M Brown","M S Brown;W B Seales"," D Imaging of Humanities Texts,","Association of Computing and the Humanities Conference"
"36","2","11","M Brown","M S Brown;R D Yang","Fast Half-toning of MPEG Video for Bi-Tonal Displays,","IEEE International Conference Image Processing"
"37","2","12","M Brown","M S Brown;W Seales","Fast Stereo Matching using Compressed Video,","Asian Conference Computer Vision ACCV Asian Conference Computer Vision Hong Kong"
