"","AuthorID","PaperNO","QuestAuthor","Coauthor","Paper","Journal"
"1","1","1","M Miller","M Baca;Y LinM Z Youssef","Edge-antimagic graphs","Discrete Mathematics"
"2","1","2","M Miller","M Baca","d-antimagic labelings of plane graphs,","Proceedings of AWOCA Hunter Valley"
"3","1","3","M Miller","M Baca","Valuations of a certain class of convex polytopes,","JCMCC"
"4","1","4","M Miller","M Baca;Y Lin","Valuations of plane quartic graphs,","JCMCC"
"5","1","5","M Miller","M BacaX Slamin","Vertex-magic total labelings of generalized Petersen graphs,","Int J of Computer Mathematics Issue"
"6","1","6","M Miller","M Baca;F Bertault;J A MacDougallR Simanjuntak;X Slamin","Vertex-antimagic total labelings of graphs,","Discussiones Mathematicae Graph Theory"
"7","1","7","M Miller","M BacaX Slamin","Every generalized Petersen graph has a vertex-magic total labeling,","Proceedings of AWOCA Hunter Valley"
"8","1","8","M Miller","M Baca","On d-magic labelings of type , , for prisms,","JCMCC"
"9","1","9","M Miller","M Baca;E T Baskoro","On d-antimagic labelings of honeycomb,","Proceedings of AWOCA Bandung Indonesia"
"10","1","10","M Miller","M BacaJ Ryan","On d-antimagic labelings of prisms and antiprisms,","Proceedings of AWOCA Bandung Indonesia"
"11","1","11","M Miller","M Baca;Y LinR Simanjuntak","New constructions of magic and antimagic graph labelings,","Utilitas Math"
"12","1","12","M Miller","M Baca;S JendrolJ Ryan","On irregular total labelings","Discrete Mathematics"
"13","1","13","M Miller","M Baca","Antimagic face labeling of convex polytopes based on biprisms,","Journal of Combinatorial Mathematics and Combinatorial Computing"
"14","1","14","M Miller","M Baca;S JendrolJ Ryan","Antimagic labelings of generalised Petersen graphs that are plane,","Ars Combinatoria"
"15","1","15","M Miller","M Baca;E T Baskoro;S Jendrol","Antimagic labelings of hexagonal plane maps,","Utilitas Math"
"16","1","16","M Miller","M Baca;J A MacDougallX Slamin;W D Wallis","A survey of certain valuations of graphs,","Discussiones Mathematicae Graph Theory"
"17","1","17","M Miller","E T BaskoroJ Siran;M Sutton","Complete characterisation of almost Moore digraphs of degree three,","Journal of Graph Theory"
"18","1","18","M Miller","E T BaskoroJ Plesnik;S Znam","Digraphs of degree close to Moore bound,","J Graph Theory"
"19","1","19","M Miller","E T BaskoroJ Plesnik","Further results on almost Moore digraphs,","Ars Combinatoria"
"20","1","20","M Miller","E T Baskoro;P ManuelJ Ryan;M Sutton","Generalized clique covering in circular arc graphs,","Proceedings of AWOCA Darwin"
"21","1","21","M Miller","E T Baskoro;L BrankovicJ Plesnik;J Ryan;J Siran","Large digraphs with small diameter: A voltage assignment approach,","JCMCC"
"22","1","22","M Miller","E Baskoro;X Surahmat;S M Nababan","On Ramsey numbers for trees versus wheels of five or six vertices,","Graphs and Combinatorics"
"23","1","23","M Miller","E T Baskoro","On the construction of networks with minimum diameter,","Proceedings of the th Australian Computer Science Conference"
"24","1","24","M Miller","E T BaskoroJ Plesnik","On the structure of digraphs with order close to the Moore bound,","Graphs and Combinatorics"
"25","1","25","M Miller","E T BaskoroJ Siran","A note on almost Moore digraphs of degree three,","Acta Mathematica Universitatis Comenianae LXVI"
"26","1","26","M Miller","E T Baskoro","Open problems in constructing digraphs with minimal diameter,","Proceedings of the th AWOCA Ubud"
"27","1","27","M Miller","E T Baskoro","A procedure for constructing a minimum-diameter digraph,","Bulletin of ICA"
"28","1","28","M Miller","E T BaskoroJ Plesnik;S Znam","Regular digraphs of diameter and maximum order,","Australasian Journal of Combinatorics"
"29","1","29","M Miller","F Bertault","Extended graph model for software visualization,","Proceedings of SoftVis Sydney"
"30","1","30","M Miller","F Bertault","An algorithm for drawing compound graphs,","Lecture Notes Computer Science ed Kratochvil"
"31","1","31","M Miller","J Boland","Eccentric digraph of a digraph,","Proceedings of AWOCA Bandung Indonesia"
"32","1","32","M Miller","J Boland;F Buckley","Eccentric Digraphs,","Discrete Mathematics"
"33","1","33","M Miller","D Bomba;L Brankovic;J CooperS Morris;F Pacecho","Data Inference in Medical Databases,","Inaugural Conference of the Asia Pacific Association of Medical Informatics"
"34","1","34","M Miller","D Bomba;L Brankovic;J CooperS Morris;F Pacecho","Security Measurement and Medical Databases,","Inaugural Conference of the Asia Pacific Association of Medical Informatics"
"35","1","35","M Miller","D Bomba;L Brankovic;J CooperS Morris;F Pacecho","Australian Healthcare: Smart Card for a Clever Country,","Inaugural Conference of the Asia Pacific Association of Medical Informatics"
"36","1","36","M Miller","Ljiljana Brankovic ; Peter Horak","A Combinatorial Problem in Database Security ","Discrete Applied Mathematics"
"37","1","37","M Miller","L BrankovicD Bomba;J Cooper;S Morris;F Pacecho","Confidentiality of patient records and the data inference problem,","HICS Conference Adelaide"
"38","1","38","M Miller","L Brankovic;P Lieby","Flattening antichains with respect to the volume,","Electronic Journal of Combinatorics R"
"39","1","39","M Miller","L BrankovicJ Siran","Graphs, - matrices and usability of statistical databases,","Congr Numer"
